,,,,,,,,,,,,,,,,
,,S39 기록표(260529),,,,,,made by 떼칭방🌿,,,,,,,,
,,,,,,,,,,,,,,,,
,난이도,맵 이름,강주력,주력,1군,2군,3군,4군,라이트,,,,,,,
,,빌리지 붐힐 터널,1.01.49,1.02.49,1.03.49,1.04.49,1.05.49,1.06.99,1.09.99,,,,,,,
,,아이스 갈라진 빙산,1.22.99,1.24.99,1.26.49,1.27.99,1.29.49,1.30.99,1.34.99,,,,,,,
,,황금문명 비밀장치의 위협,1.38.99,1.40.49,1.41.99,1.43.49,1.45.49,1.47.49,1.51.99,,,,,,,
,,네모 산타의 비밀 공간,1.25.99,1.27.49,1.28.99,1.30.49,1.31.99,1.33.49,1.37.49,,,,,,,
,,황금문명 오르에트 황금 좌표,1.25.49,1.26.99,1.28.49,1.29.99,1.31.49,1.32.99,1.36.99,,,,,,,
,,차이나 골목길 대질주,1.53.99,1.55.49,1.56.99,1.58.49,1.59.99,2.01.99,2.05.99,,,,,,,
,,해적 가파른 감시탑,1.33.49,1.34.99,1.36.99,1.38.49,1.40.49,1.42.49,1.46.99,,,,,,,
,,도검 구름의 협곡,1.26.99,1.28.49,1.30.49,1.32.49,1.34.49,1.36.49,1.41.49,,,,,,,
,,팩토리 두 개의 공장,1.40.49,1.41.99,1.43.49,1.44.99,1.46.49,1.48.49,1.52.49,,,,,,,
,,해적 상어섬의 비밀,2.01.49,2.02.99,2.04.49,2.06.49,2.08.49,2.10.49,2.14.99,,,,,,,
,,포레스트 오싹한 공중다리,1.53.49,1.54.99,1.56.99,1.58.99,2.00.99,2.03.49,2.08.49,,,,,,,
,,포레스트 대관령,1.11.99,1.12.99,1.13.99,1.14.99,1.15.99,1.17.49,1.20.49,,,,,,,
,,쥐라기 공룡섬 대모험,1.40.99,1.42.49,1.43.99,1.45.99,1.47.99,1.49.99,1.54.49,,,,,,,
,,WKC 투어링 랠리,1.15.49,1.16.99,1.17.99,1.18.99,1.19.99,1.21.49,1.24.49,,,,,,,
,,아이스 아찔한 헬기 점프,1.52.99,1.54.99,1.56.99,1.58.99,2.00.99,2.03.49,2.08.99,,,,,,,
,,어비스 숨겨진 바닷길,1.44.99,1.46.49,1.47.99,1.49.99,1.51.99,1.53.99,1.58.49,,,,,,,
,,사막 오래된 송수관,1.32.99,1.34.49,1.35.99,1.37.49,1.38.99,1.40.99,1.44.99,,,,,,,
,,공동묘지 해골성 대탐험,1.49.99,1.51.49,1.52.99,1.54.99,1.56.99,1.59.49,2.04.49,,,,,,,
,,올림포스 하늘의 신전,1.58.99,2.00.49,2.01.99,2.03.99,2.05.99,2.07.99,2.12.49,,,,,,,
,,어비스 스카이 라인,1.15.99,1.17.49,1.18.99,1.20.49,1.21.99,1.23.49,1.27.49,,,,,,,
,,대저택 골드 러쉬,1.51.99,1.53.49,1.55.49,1.57.99,2.00.99,2.03.99,2.09.99,,,,,,,
,L1,동화 이상한 나라의 문,1.44.49,1.46.49,1.47.99,1.49.99,1.52.49,1.54.99,2.00.49,,,,,,,
,,노르테유 익스프레스,1.40.99,1.42.99,1.44.49,1.46.49,1.48.99,1.51.49,1.56.99,,,,,,,
,,광산 꼬불꼬불 다운힐,1.03.99,1.05.49,1.06.99,1.08.99,1.10.99,1.12.99,1.17.49,,,,,,,
,,팩토리 미완성 5구역,1.07.99,1.09.49,1.10.99,1.12.49,1.13.99,1.15.49,1.19.49,,,,,,,
,,공동묘지 마왕의 초대,1.35.99,1.37.49,1.38.99,1.40.99,1.42.99,1.45.49,1.49.49,,,,,,,
,,아이스 설산 다운힐,1.58.99,2.00.99,2.02.99,2.05.49,2.07.99,2.10.49,2.15.99,,,,,,,
,,[R]포레스트 지그재그,1.54.99,1.56.99,1.58.99,2.00.99,2.02.99,2.04.99,2.09.99,,,,,,,
,,문힐시티 숨겨진 지하터널,1.42.99,1.44.99,1.46.99,1.48.99,1.51.49,1.53.49,1.58.99,,,,,,,
,,광산 위험한 제련소,1.57.99,1.59.99,2.02.49,2.04.49,2.07.49,2.09.99,2.15.99,,,,,,,
,,차이나 용의 성지,2.37.99,2.39.99,2.42.49,2.45.49,2.48.49,2.51.99,2.58.99,,,,,,,
,,해적 대해적 로두마니,2.59.49,3.02.49,3.05.99,3.09.49,3.13.49,3.17.49,3.26.49,,,,,,,
,,아이스 부서진 빙산,1.36.49,1.37.99,1.39.49,1.41.49,1.43.49,1.45.49,1.49.99,,,,,,,
,,빌리지 붐힐 드라이브,3.08.99,3.11.49,3.14.99,3.18.49,3.21.99,3.25.99,3.34.49,,,,,,,
,,공동묘지 절망의 카타콤,2.44.49,2.46.99,2.49.99,2.54.49,2.58.49,3.02.99,3.12.49,,,,,,,
